company,totalyearlycompensation,yearsofexperience,Masters_Degree,Bachelors_Degree,Doctorate_Degree,state,city
Large,240000,0.0,0,0,0,CA,Mountain View
Medium,200000,0.0,0,0,0,CA,Mountain View
Large,158000,1.0,0,0,0,CA,Sunnyvale
Large,165000,6.0,0,0,0,WA,Seattle
Medium,225000,4.0,0,0,0,CA,Mountain View
Medium,155000,5.0,0,0,0,DC,Washington
Large,304000,5.0,0,0,0,WA,Seattle
Large,133000,3.0,0,0,0,WA,Seattle
Medium,312000,4.0,0,0,0,CA,San Francisco
Medium,166000,0.0,0,0,0,CA,San Francisco
Small,190000,4.0,0,0,0,CA,San Jose
Small,300000,10.0,0,0,0,CA,Mountain View
Large,332000,1.0,0,0,1,CA,Palo Alto
Small,194000,2.0,0,0,0,CA,Mountain View
Small,110000,1.0,0,0,0,PA,Pittsburgh
Large,120000,3.0,0,0,0,WA,Seattle
Large,130000,5.0,0,0,0,WA,Redmond
Small,118000,2.0,0,0,0,WA,Seattle
Large,210000,4.0,0,0,0,WA,Seattle
Small,150000,0.0,0,0,0,NY,New York
Medium,207000,10.0,0,0,0,CA,Mountain View
Large,220000,5.0,0,0,0,WA,Seattle
Large,294000,1.0,0,0,0,WA,Seattle
Large,294000,1.0,0,0,0,WA,Seattle
Large,294000,1.0,0,0,0,WA,Seattle
Small,99000,1.0,0,0,0,NC,Raleigh
Medium,250000,1.0,0,0,0,WA,Seattle
Large,185000,4.0,0,0,0,CA,Palo Alto
Large,190000,2.0,0,0,0,CA,Menlo Park
Small,152000,4.0,0,0,0,VA,Reston
Large,225000,0.0,0,0,0,CA,Menlo Park
Small,155000,7.0,0,0,0,OR,Portland
Large,225000,5.0,0,0,0,WA,Redmond
Small,140000,2.0,0,0,0,OR,Hillsboro
Large,395000,15.0,0,0,0,WA,Seattle
Small,242000,1.0,0,0,0,CA,Sunnyvale
Medium,350000,5.0,0,0,0,CA,Sunnyvale
Small,70000,0.0,0,0,0,DE,Wilmington
Small,120000,5.0,0,0,0,NY,New York
Medium,150000,4.0,0,0,0,CA,Cupertino
Large,427000,10.0,0,0,0,WA,Redmond
Small,140000,2.0,0,0,0,NY,New York
Large,204000,3.0,0,0,0,WA,Seattle
Large,175000,5.0,0,0,0,WA,Redmond
Medium,310000,4.0,0,0,0,CA,San Francisco
Small,130000,5.0,0,0,0,NY,New York
Large,250000,3.0,0,0,0,WA,Seattle
Large,195000,9.0,0,0,0,CA,Menlo Park
Small,103000,0.0,0,0,0,TX,Houston
Small,345000,7.0,0,0,0,CA,San Francisco
Small,190000,10.0,0,0,0,NY,New York
Large,206000,4.0,0,0,0,CA,Menlo Park
Small,150000,0.0,0,0,0,CA,San Diego
Large,300000,1.0,0,0,0,WA,Seattle
Small,250000,3.0,0,0,0,CA,San Francisco
Large,220000,6.0,0,0,0,CA,San Francisco
Large,274000,7.0,0,0,0,CA,San Francisco
Small,165000,3.0,0,0,0,NY,New York
Large,178000,3.0,0,0,0,WA,Redmond
Medium,255000,1.0,0,0,0,CA,San Francisco
Medium,220000,1.0,0,0,0,CA,San Francisco
Small,330000,4.0,0,0,0,CA,San Francisco
Small,278000,7.0,0,0,0,CA,San Francisco
Large,216000,5.0,0,0,0,WA,Bellevue
Small,200000,3.0,0,0,0,CA,Sunnyvale
Medium,300000,1.0,0,0,0,CA,San Francisco
Medium,220000,1.0,0,0,0,CA,Redwood City
Large,222000,10.0,0,0,0,WA,Seattle
Large,270000,4.0,0,0,0,WA,Redmond
Medium,230000,3.0,0,0,0,WA,Seattle
Large,197000,5.0,0,0,0,PA,Pittsburgh
Small,119000,4.0,0,0,0,CO,Denver
Large,190000,1.0,0,0,0,CA,Menlo Park
Large,350000,12.0,0,0,0,CA,Menlo Park
Large,204000,4.0,0,0,0,NY,New York
Medium,248000,10.0,0,0,0,CA,Sunnyvale
Small,368000,0.0,0,0,0,CA,Los Gatos
Large,144000,1.0,0,0,0,CA,San Francisco
Large,228000,3.0,0,0,0,NY,New York
Small,108000,2.0,0,0,0,NY,New York
Small,297000,8.0,0,0,0,CA,San Francisco
Large,181000,4.0,0,0,0,NY,New York
Small,100000,1.0,0,0,0,NY,New York
Large,210000,4.0,0,0,0,CA,Menlo Park
Large,197000,5.0,0,0,0,PA,Pittsburgh
Small,230000,5.0,0,0,0,CA,Walnut Creek
Medium,265000,10.0,0,0,0,CA,Mountain View
Large,190000,3.0,0,0,0,CA,Menlo Park
Large,265000,5.0,0,0,0,CA,San Francisco
Large,199000,0.0,0,0,0,WA,Redmond
Large,173000,2.0,0,0,0,WA,Bellevue
Large,189000,0.0,0,0,0,CA,Menlo Park
Small,210000,12.0,0,0,0,NY,New York
Small,136000,5.0,0,0,0,IL,Chicago
Medium,430000,6.0,0,0,0,CA,San Francisco
Large,199000,0.0,0,0,0,WA,Redmond
Small,150000,1.0,0,0,0,NY,New York
Large,152000,8.0,0,0,0,WA,Redmond
Large,340000,10.0,0,0,0,CA,Menlo Park
Small,270000,10.0,0,0,0,CA,San Francisco
Small,177000,3.0,0,0,0,UT,Farmington
Small,163000,3.0,0,0,0,CA,San Diego
Medium,212000,4.0,0,0,0,CA,Cupertino
Medium,257000,12.0,0,0,0,CA,Mountain View
Large,185000,10.0,0,0,0,WA,Redmond
Small,185000,1.0,0,0,0,CA,Fremont
Medium,214000,5.0,0,0,0,CA,Cupertino
Medium,195000,0.0,0,0,0,CA,Mountain View
Small,160000,2.0,0,0,0,CA,Redwood City
Small,245000,2.0,0,0,0,CA,Sunnyvale
Large,210000,3.0,0,0,0,PA,Pittsburgh
Small,380000,8.0,0,0,0,CA,San Francisco
Small,136000,2.0,0,0,0,CA,San Francisco
Small,400000,6.0,0,0,0,CA,Santa Clara
Large,350000,15.0,0,0,0,WA,Redmond
Small,224000,3.0,0,0,0,WA,Seattle
Small,280000,4.0,0,0,0,CA,San Francisco
Small,137000,5.0,0,0,0,OH,Cincinnati
Large,285000,7.0,0,0,0,WA,Redmond
Large,165000,4.0,0,0,0,WA,Redmond
Small,200000,5.0,0,0,0,WA,Seattle
Small,70000,0.0,0,0,0,WA,Seattle
Large,232000,3.0,0,0,0,WA,Redmond
Small,125000,20.0,0,0,0,IL,Chicago
Large,180000,4.0,0,0,0,WA,Seattle
Large,185000,6.0,0,0,0,WA,Seattle
Large,160000,5.0,0,0,0,WA,Seattle
Small,176000,6.0,0,0,0,CO,Denver
Small,110000,0.0,0,0,0,TX,Plano
Large,250000,5.0,0,0,0,WA,Redmond
Large,280000,8.0,0,0,0,NY,New York
Small,95000,2.0,0,0,0,TX,Dallas
Large,120000,3.0,0,0,0,WA,Redmond
Small,140000,1.0,0,0,0,NY,New York
Medium,157000,2.0,0,0,0,CA,San Jose
Small,135000,3.0,0,0,0,CA,San Francisco
Small,240000,5.0,0,0,0,CA,San Francisco
Large,260000,5.0,0,0,0,WA,Redmond
Small,130000,2.0,0,0,0,NY,New York
Small,193000,6.0,0,0,0,AZ,Phoenix
Small,180000,0.0,0,0,0,CA,San Francisco
Small,180000,2.0,0,0,0,CA,South San Francisco
Small,138000,0.0,0,0,0,MN,Minneapolis
Small,115000,4.0,0,0,0,PA,Philadelphia
Small,110000,7.0,0,0,0,GA,Atlanta
Medium,177000,2.0,0,0,0,CA,San Francisco
Small,210000,1.0,0,0,1,CA,San Francisco
Small,525000,15.0,0,0,0,CA,Los Angeles
Medium,270000,5.0,0,0,0,CA,Sunnyvale
Large,162000,4.0,0,0,0,WA,Bellevue
Small,144000,3.0,0,0,0,NY,New York
Medium,130000,5.0,0,0,0,CA,San Jose
Medium,387000,12.0,0,0,0,CA,San Francisco
Small,210000,2.0,0,0,0,CA,Mountain View
Small,360000,5.0,0,0,0,CA,San Francisco
Small,242000,6.0,0,0,0,CA,San Francisco
Medium,265000,3.0,0,0,0,CA,San Francisco
Large,300000,2.0,0,0,0,CA,San Francisco
Small,90000,2.0,0,0,0,MA,Boston
Small,240000,7.0,0,0,0,CA,Milpitas
Large,168000,6.0,0,0,0,NY,New York
Small,318000,4.0,0,0,0,CA,Mountain View
Small,190000,4.0,0,0,0,WA,Bellevue
Large,310000,7.0,0,0,0,WA,Seattle
Large,250000,13.0,0,0,0,WA,Seattle
Large,228000,5.0,0,0,0,WA,Redmond
Small,110000,0.0,0,0,0,NY,New York
Small,210000,12.0,0,0,0,NJ,Jersey City
Large,170000,5.0,0,0,0,NY,New York
Small,290000,2.0,0,0,0,WA,Seattle
Large,290000,2.0,0,0,0,WA,Seattle
Small,190000,13.0,0,0,0,PA,Newtown Square
Small,270000,7.0,0,0,0,CA,Sunnyvale
Large,180000,2.0,0,0,0,WA,Redmond
Large,294000,1.0,0,0,0,WA,Seattle
Small,120000,3.0,0,0,0,CA,Palo Alto
Large,192000,10.0,0,0,0,WA,Seattle
Large,288000,6.0,0,0,0,WA,Redmond
Large,220000,8.0,0,0,0,WA,Redmond
Small,213000,1.0,0,0,0,CA,San Jose
Large,171000,7.0,0,0,0,CA,Sunnyvale
Large,186000,6.0,0,0,0,WA,Seattle
Large,250000,7.0,0,0,0,CA,Palo Alto
Large,146000,1.0,0,0,0,WA,Redmond
Large,155000,2.0,0,0,0,WA,Redmond
Small,100000,0.0,0,0,0,TX,Plano
Small,260000,9.0,0,0,0,CA,San Mateo
Small,149000,12.0,0,0,0,WA,Seattle
Small,190000,5.0,0,0,0,CA,San Francisco
Small,226000,3.0,0,0,0,WA,Bellevue
Large,240000,3.0,0,0,0,CA,Menlo Park
Large,190000,5.0,0,0,0,WA,Seattle
Large,266000,6.0,0,0,0,WA,Seattle
Small,150000,1.0,0,0,0,MA,Boston
Small,315000,8.0,0,0,0,NY,New York
Small,300000,4.0,0,0,0,WA,Seattle
Large,213000,4.0,0,0,0,WA,Seattle
Small,188000,0.0,0,0,0,CA,Sunnyvale
Small,200000,7.0,0,0,0,CA,Sunnyvale
Large,185000,8.0,0,0,0,WA,Redmond
Small,160000,5.0,0,0,0,CA,Redwood City
Small,142000,3.0,0,0,0,CA,San Francisco
Small,110000,4.0,0,0,0,NY,New York
Medium,268000,2.0,0,0,0,NY,New York
Medium,258000,4.0,0,0,0,CA,Cupertino
Small,450000,4.0,0,0,0,CA,Los Angeles
Medium,189000,0.0,0,0,0,CA,Sunnyvale
Small,155000,3.0,0,0,0,NY,New York
Small,212000,2.0,0,0,0,CA,Mountain View
Large,165000,0.0,0,0,0,WA,Redmond
Small,149000,1.0,0,0,0,CA,San Francisco
Large,147000,7.0,0,0,0,WA,Seattle
Small,92000,6.0,0,0,0,TX,Fort Worth
Large,202000,0.0,0,0,0,CA,Menlo Park
Small,65000,2.0,0,0,0,FL,Tampa
Small,147000,5.0,0,0,0,OH,Cincinnati
Large,240000,0.0,0,0,0,WA,Redmond
Large,304000,8.0,0,0,0,WA,Seattle
Large,232000,0.0,0,0,0,WA,Seattle
Small,170000,15.0,0,0,0,WA,Seattle
Large,309000,3.0,0,0,0,CA,Berkeley
Medium,273000,13.0,0,0,0,CA,Mountain View
Large,269000,15.0,0,0,0,CA,San Jose
Large,144000,1.0,0,0,0,CA,Menlo Park
Large,225000,3.0,0,0,0,CA,Palo Alto
Large,280000,0.0,0,0,0,CA,Sunnyvale
Small,232000,2.0,0,0,0,CA,San Francisco
Large,208000,8.0,0,0,0,WA,Redmond
Medium,340000,8.0,0,0,0,CA,Cupertino
Small,263000,6.0,0,0,0,CA,San Francisco
Large,170000,10.0,0,0,0,WA,Seattle
Small,159000,2.0,0,0,0,NY,New York
Medium,290000,4.0,0,0,0,CA,Cupertino
Large,253000,5.0,0,0,0,CA,Menlo Park
Medium,156000,2.0,0,0,0,CA,San Jose
Small,72000,2.0,0,0,0,VA,Norfolk
Small,158000,5.0,0,0,0,MI,Warren
Small,117000,3.0,0,0,0,AR,Bentonville
Small,222000,15.0,0,0,0,NY,New York
Medium,154000,2.0,0,0,0,CA,San Francisco
Small,250000,4.0,0,0,0,CA,Sunnyvale
Large,257000,10.0,0,0,0,CA,Palo Alto
Large,223000,2.0,0,0,0,WA,Redmond
Medium,306000,5.0,0,0,1,CA,Cupertino
Small,98000,6.0,0,0,0,AZ,Phoenix
Large,262000,14.0,0,0,0,WA,Redmond
Small,210000,3.0,0,0,0,CA,Sunnyvale
Small,164000,3.0,0,0,0,MI,Ann Arbor
Medium,158000,3.0,0,0,0,CA,San Jose
Large,180000,0.0,0,0,0,WA,Bellevue
Small,440000,11.0,0,0,0,WA,Seattle
Large,274000,5.0,0,0,0,CA,Menlo Park
Small,280000,8.0,0,0,0,CA,Sunnyvale
Medium,207000,0.0,0,0,0,CA,Sunnyvale
Large,247000,2.0,0,0,0,WA,Seattle
Medium,505000,6.0,0,0,0,CA,Cupertino
Large,212000,1.0,0,0,0,WA,Bellevue
Small,300000,19.0,1,0,0,NJ,Raritan
Large,168000,1.0,1,0,0,WA,Seattle
Small,150000,0.0,1,0,0,CA,San Francisco
Small,230000,3.0,0,0,0,CA,San Francisco
Small,265000,10.0,1,0,0,AR,Bentonville
Large,253000,8.0,0,0,0,NY,New York
Large,253000,8.0,0,0,0,NY,New York
Small,510000,8.0,0,0,1,IL,Illinois City
Large,150000,3.0,1,0,0,WA,Seattle
Small,256000,4.0,0,0,0,CA,San Francisco
Large,210000,10.0,0,0,0,DC,Washington
Small,191000,3.0,0,0,0,WA,Seattle
Large,149000,0.0,0,0,1,WA,Seattle
Small,180000,2.0,0,0,0,WA,Seattle
Small,85000,2.0,1,0,0,WI,Madison
Small,100000,3.0,0,0,1,MO,Kansas City
Large,262000,0.0,1,0,0,WA,Redmond
Medium,450000,8.0,0,0,1,CA,San Francisco
Small,160000,2.0,1,0,0,NY,New York
Small,465000,6.0,1,0,1,CA,Los Gatos
Small,260000,4.0,1,0,0,CA,Sunnyvale
Large,225000,0.0,1,0,0,CA,Sunnyvale
Small,230000,8.0,1,0,0,CA,Santa Clara
Medium,111000,1.0,0,0,1,NC,Durham
Small,122000,2.0,0,0,0,CA,Pleasanton
Small,170000,6.0,0,0,0,CA,Los Angeles
Small,90000,3.0,1,0,0,DC,Washington
Large,245000,8.0,1,0,0,CA,Menlo Park
Small,135000,5.0,1,0,0,MA,Boston
Large,295000,6.0,0,0,0,CA,Sunnyvale
Large,230000,25.0,0,0,0,WA,Seattle
Large,213000,0.0,1,0,0,WA,Bellevue
Small,147000,3.0,0,0,0,NY,New York
Small,138000,3.0,1,0,0,NY,New York
Small,165000,8.0,1,0,1,VA,Arlington
Small,104000,4.0,0,0,0,DC,Washington
Small,246000,3.0,1,0,0,CA,San Francisco
Small,142000,4.0,0,0,0,CA,San Ramon
Small,205000,8.0,0,0,0,NY,New York
Large,177000,0.0,1,0,0,CA,Menlo Park
Small,184000,7.0,1,0,0,WA,Seattle
Large,211000,2.0,1,0,0,CA,Menlo Park
Small,187000,0.0,0,0,0,CA,Los Angeles
Large,203000,0.0,0,0,1,CA,Menlo Park
Small,400000,17.0,1,0,1,NY,New York
Large,570000,15.0,0,0,1,CA,Menlo Park
Small,160000,3.0,0,0,0,NY,New York
Small,250000,4.0,1,0,0,CA,San Francisco
Large,144000,1.0,0,0,1,WA,Redmond
Small,165000,5.0,0,0,0,WA,Bellevue
Small,225000,8.0,1,0,1,WA,Seattle
Medium,180000,6.0,1,0,0,CA,San Francisco
Small,190000,6.0,1,0,0,CA,South San Francisco
Large,170000,6.0,1,0,0,WA,Seattle
Small,300000,7.0,0,0,1,CA,Mountain View
Medium,360000,16.0,0,0,0,CA,San Francisco
Small,125000,1.0,0,0,1,CA,Irvine
Large,180000,5.0,1,0,0,WA,Seattle
Small,232000,3.0,1,0,0,CA,San Francisco
Small,420000,2.0,0,0,1,CA,Los Angeles
Small,165000,6.0,0,0,0,GA,Atlanta
Small,525000,9.0,0,0,1,CA,Los Gatos
Large,450000,11.0,1,0,0,CA,San Francisco
Small,110000,0.0,0,0,0,MA,Boston
Medium,230000,10.0,0,0,1,CA,Cupertino
Small,280000,5.0,0,0,1,CA,San Francisco
Small,700000,7.0,0,0,1,CA,Los Angeles
Small,556000,3.0,1,0,0,MA,Boston
Medium,253000,3.0,0,0,0,CA,San Francisco
Large,500000,9.0,0,0,1,WA,Seattle
Medium,350000,11.0,0,0,1,CA,Cupertino
Large,340000,12.0,0,0,0,WA,Seattle
Small,270000,4.0,0,0,0,CA,San Francisco
Medium,366000,10.0,1,0,0,CA,San Francisco
Small,163000,5.0,1,0,0,CO,Broomfield
Small,580000,9.0,1,0,0,CA,San Francisco
Large,230000,10.0,1,0,0,WA,Seattle
Small,230000,4.0,1,0,0,CA,Mountain View
Large,173000,0.0,0,0,1,WA,Bellevue
Small,86000,0.0,1,0,0,MN,Saint Paul
Small,235000,1.0,0,0,1,CA,San Francisco
Medium,208000,0.0,0,0,1,CA,Cupertino
Small,113000,1.0,1,0,0,TX,Austin
Small,148000,1.0,1,0,0,NY,New York
Large,203000,3.0,0,0,1,WA,Redmond
Small,190000,5.0,1,0,0,IL,Chicago
Small,215000,5.0,1,0,0,CA,Mountain View
Small,139000,1.0,1,0,0,CA,Foster City
Small,220000,4.0,0,0,1,CA,San Francisco
Small,140000,3.0,1,0,0,NY,New York
Large,281000,15.0,0,0,0,WA,Redmond
Small,200000,1.0,1,0,1,CA,San Francisco
Small,370000,4.0,0,0,0,CA,Sunnyvale
Small,135000,1.0,0,0,0,CA,San Francisco
Medium,231000,10.0,1,0,0,CA,Cupertino
